,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,Occidental Petroleum - Rating: 9% - Upside: 780%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2016,3/10/2016,$                                                       68.44,,,11/16/2015,,11/16/2015,,,,,4.41%,$             68.44,3.02,2.027,10,43.19,174.57,1%,2862%,0.15%,6.99%,1.05%,-19.74%,-1.74%,12.32,1.73%,-4.48%,,,,,1/1/2013,2013,,46,7.02%,10,2520,0.38%
,,,,,,,,,,,,,,,,,,2016,3/11/2016,$                                                       69.95,,,11/23/2015,,11/23/2015,,,,,4.32%,$             69.95,3.02,2.027,10,43.19,174.57,1%,2798%,0.15%,6.99%,1.03%,-21.47%,-3.86%,12.32,1.73%,-2.37%,,,,,1/1/2014,2014,,47,7.17%,13,2533,0.49%
,,,,,,,,,,,,,,,,,,2016,3/14/2016,$                                                       69.05,,,11/30/2015,,11/30/2015,,,,,4.37%,$             69.05,3.02,2.027,10,43.19,174.57,1%,2836%,0.15%,6.99%,1.04%,-20.45%,-2.61%,12.32,1.73%,-3.63%,,,,,1/1/2015,2015,,48,7.32%,16,2549,0.60%
,,,,,,,,,,,,,,,,,,2016,3/15/2016,$                                                       68.33,,,12/7/2015,,12/7/2015,,,,,4.42%,$             68.33,3.02,2.027,10,43.19,174.57,1%,2867%,0.15%,6.99%,1.05%,-19.61%,-1.58%,12.32,1.73%,-4.63%,,,,,1/1/2016,2016,,49,7.47%,6,2555,0.23%
,,,,,,,,,,,,,,,,,,2016,3/16/2016,$                                                       69.42,,,12/14/2015,,12/14/2015,,,,,4.35%,$             69.42,3.02,2.027,10,43.19,174.57,1%,2820%,0.15%,6.99%,1.04%,-20.87%,-3.13%,12.32,1.73%,-3.11%,,,,,1/1/2017,2017,,50,7.62%,15,2570,0.56%
,,,,,,,,,,,,,,,,,,2016,3/17/2016,$                                                       70.66,,,12/21/2015,,12/21/2015,,,,,4.27%,$             70.66,3.02,2.027,10,43.19,174.57,1%,2769%,0.15%,6.99%,1.02%,-22.26%,-4.83%,12.32,1.73%,-1.38%,,,,,1/1/2018,2018,,51,7.77%,14,2584,0.53%
,,,,,,,,,,,,,,,,,,2016,3/18/2016,$                                                        71.30,,,12/28/2015,,12/28/2015,,,,,4.24%,$              71.30,3.02,2.027,10,43.19,174.57,1%,2743%,0.15%,6.99%,1.01%,-22.96%,-5.68%,12.32,1.73%,-0.49%,,,,,1/1/2019,2019,,52,7.92%,16,2600,0.60%
,,,,,,,,,,,,,,,,,,2016,3/21/2016,$                                                       70.67,,,1/4/2016,,1/4/2016,,,,,4.27%,$             70.67,3.02,2.027,10,43.19,174.57,1%,2768%,0.15%,6.99%,1.02%,-22.27%,-4.84%,12.32,1.73%,-1.37%,,,,,1/1/2020,2020,,53,8.07%,20,2620,0.75%
,,,,,,,,,,,,,,,,,,2016,3/22/2016,$                                                        69.61,,,1/11/2016,,1/11/2016,,,,,4.34%,$              69.61,3.02,2.027,10,43.19,174.57,1%,2812%,0.15%,6.99%,1.03%,-21.09%,-3.39%,12.32,1.73%,-2.85%,,,,,,,,54,8.22%,0,2620,0.00%
,,,,,,,,,,,,,,,,,,2016,3/23/2016,$                                                       68.29,,,1/19/2016,,1/19/2016,,,,,4.42%,$             68.29,3.02,2.027,10,43.19,174.57,1%,2868%,0.15%,6.99%,1.05%,-19.56%,-1.52%,12.32,1.73%,-4.69%,,,,,,,,55,,,,
,,,,,,,,,,,,,,,,,,2016,3/24/2016,$                                                        68.51,,,1/25/2016,,1/25/2016,,,,,4.41%,$              68.51,3.02,2.027,10,43.19,174.57,1%,2859%,0.15%,6.99%,1.05%,-19.82%,-1.84%,12.32,1.73%,-4.38%,,,,,,,,56,,,,
,,,,,,,,,,,,,,,,,,2016,3/28/2016,$                                                       68.03,,,2/1/2016,,2/1/2016,,,,,4.44%,$             68.03,3.02,2.027,10,43.19,174.57,1%,2880%,0.15%,6.99%,1.06%,-19.26%,-1.15%,12.32,1.73%,-5.05%,,,,,,80%,,57,,,,
,,,,,,,,,,,,,,,,,,2016,3/29/2016,$                                                       67.93,,,2/8/2016,,2/8/2016,,,,,4.45%,$             67.93,3.02,2.027,10,43.19,174.57,1%,2884%,0.15%,6.99%,1.06%,-19.14%,-1.00%,12.32,1.73%,-5.19%,,,,,,81%,,58,,,,
,,,,,,,,,,,,,,,,,,2016,3/30/2016,$                                                       68.60,,,2/16/2016,,2/16/2016,,,,,4.40%,$             68.60,3.02,2.027,10,43.19,174.57,1%,2855%,0.15%,6.99%,1.05%,-19.93%,-1.97%,12.32,1.73%,-4.26%,,,,,,82%,,59,,,,
,,,,,,,,,,,,,,,,,,2016,3/31/2016,$                                                       68.43,,,2/22/2016,,2/22/2016,,,,,4.41%,$             68.43,3.02,2.027,10,43.19,174.57,1%,2862%,0.15%,6.99%,1.05%,-19.73%,-1.72%,12.32,1.73%,-4.49%,,,,,,83%,,60,,,,
,,,,,,,,,,,,,,,,,,2016,4/1/2016,$                                                       68.20,,,2/29/2016,,2/29/2016,,,,,4.43%,$             68.20,3.02,2.027,10,43.19,174.57,1%,2872%,0.15%,6.99%,1.06%,-19.46%,-1.39%,12.32,1.73%,-4.81%,,,,,,84%,,61,,,,
,,,,,,,,,,,,,,,,,,2016,4/4/2016,$                                                        68.19,,,3/7/2016,,3/7/2016,,,,,4.43%,$              68.19,3.02,2.027,10,43.19,174.57,1%,2873%,0.15%,6.99%,1.06%,-19.45%,-1.38%,12.32,1.73%,-4.83%,,,,,,85%,,62,,,,
,,,,,,,,,,,,,,,,,,2016,4/5/2016,$                                                       67.42,,,3/14/2016,,3/14/2016,,,,,4.48%,$             67.42,3.02,2.027,10,43.19,174.57,1%,2907%,0.15%,6.99%,1.07%,-18.53%,-0.25%,12.32,1.73%,-5.90%,,,,,,86%,,63,,,,
,,,,,,,,,,,,,,,,,,2016,4/6/2016,$                                                        70.12,,,3/21/2016,,3/21/2016,,,,,4.31%,$              70.12,3.02,2.027,10,43.19,174.57,1%,2791%,0.15%,6.99%,1.03%,-21.66%,-4.09%,12.32,1.73%,-2.13%,,,,,,87%,,64,,,,
,,,,,,,,,,,,,,,,,,2016,4/7/2016,$                                                       69.38,,,3/28/2016,,3/28/2016,,,,,4.35%,$             69.38,3.02,2.027,10,43.19,174.57,1%,2822%,0.15%,6.99%,1.04%,-20.83%,-3.07%,12.32,1.73%,-3.17%,,,,,,88%,,65,,,,
