,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/8/2017,2.729,00,,,9/26/2022,,9/26/2022,,,,,2.13%,2.729,00,58.00,2.530,05,787.63,1.400,29,111%,-7%,2.29%,7.36%,4.36%,-38.37%,-31.48%,188,4.14%,-1.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/9/2017,2.701,00,,,10/3/2022,,10/3/2022,,,,,2.15%,2.701,00,58.00,2.530,05,787.63,1.400,29,110%,-6%,2.29%,7.36%,4.41%,-37.73%,-30.77%,188,4.14%,-2.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/10/2017,2.654,00,,,10/10/2022,,10/10/2022,,,,,2.19%,2.654,00,58.00,2.530,05,787.63,1.400,29,107%,-5%,2.29%,7.36%,4.48%,-36.62%,-29.54%,188,4.14%,-4.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/11/2017,2.723,00,,,10/17/2022,,10/17/2022,,,,,2.13%,2.723,00,58.00,2.530,05,787.63,1.400,29,111%,-7%,2.29%,7.36%,4.37%,-38.23%,-31.33%,188,4.14%,-2.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/14/2017,2.723,00,,,10/24/2022,,10/24/2022,,,,,2.13%,2.723,00,58.00,2.530,05,787.63,1.400,29,111%,-7%,2.29%,7.36%,4.37%,-38.23%,-31.33%,188,4.14%,-2.02%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/15/2017,2.735,00,,,10/31/2022,,10/31/2022,,,,,2.12%,2.735,00,58.00,2.530,05,787.63,1.400,29,112%,-7%,2.29%,7.36%,4.35%,-38.50%,-31.63%,188,4.14%,-1.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/16/2017,2.765,00,,,11/7/2022,,11/7/2022,,,,,2.10%,2.765,00,58.00,2.530,05,787.63,1.400,29,113%,-8%,2.29%,7.36%,4.30%,-39.17%,-32.37%,188,4.14%,-0.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/17/2017,2.770,00,,,11/14/2022,,11/14/2022,,,,,2.09%,2.770,00,58.00,2.530,05,787.63,1.400,29,114%,-9%,2.29%,7.36%,4.30%,-39.28%,-32.49%,188,4.14%,-0.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/18/2017,2.770,00,,,11/21/2022,,11/21/2022,,,,,2.09%,2.770,00,58.00,2.530,05,787.63,1.400,29,114%,-9%,2.29%,7.36%,4.30%,-39.28%,-32.49%,188,4.14%,-0.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/21/2017,2.762,00,,,11/28/2022,,11/28/2022,,,,,2.10%,2.762,00,58.00,2.530,05,787.63,1.400,29,113%,-8%,2.29%,7.36%,4.31%,-39.10%,-32.30%,188,4.14%,-0.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/22/2017,2.756,00,,,12/5/2022,,12/5/2022,,,,,2.10%,2.756,00,58.00,2.530,05,787.63,1.400,29,113%,-8%,2.29%,7.36%,4.32%,-38.97%,-32.15%,188,4.14%,-0.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/23/2017,2.790,00,,,12/12/2022,,12/12/2022,,,,,2.08%,2.790,00,58.00,2.530,05,787.63,1.400,29,115%,-9%,2.29%,7.36%,4.27%,-39.71%,-32.97%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/24/2017,2.794,00,,,12/19/2022,,12/19/2022,,,,,2.08%,2.794,00,58.00,2.530,05,787.63,1.400,29,115%,-9%,2.29%,7.36%,4.26%,-39.80%,-33.07%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/25/2017,2.800,00,,,12/27/2022,,12/27/2022,,,,,2.07%,2.800,00,58.00,2.530,05,787.63,1.400,29,115%,-10%,2.29%,7.36%,4.25%,-39.93%,-33.21%,188,4.14%,0.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/29/2017,2.798,00,,,1/2/2023,,1/3/2023,,,,,2.07%,2.798,00,58.00,2.530,05,787.63,1.400,29,115%,-10%,2.29%,7.36%,4.25%,-39.89%,-33.17%,188,4.14%,-0.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/30/2017,2.795,00,,,1/9/2023,,1/9/2023,,,,,2.08%,2.795,00,58.00,2.530,05,787.63,1.400,29,115%,-9%,2.29%,7.36%,4.26%,-39.82%,-33.09%,188,4.14%,-0.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,8/31/2017,2.780,00,,,1/16/2023,,1/17/2023,,,,,2.09%,2.780,00,58.00,2.530,05,787.63,1.400,29,114%,-9%,2.29%,7.36%,4.28%,-39.50%,-32.73%,188,4.14%,-0.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/1/2017,2.783,00,,,1/23/2023,,1/23/2023,,,,,2.08%,2.783,00,58.00,2.530,05,787.63,1.400,29,115%,-9%,2.29%,7.36%,4.28%,-39.56%,-32.81%,188,4.14%,-0.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/4/2017,2.759,00,,,1/30/2023,,1/30/2023,,,,,2.10%,2.759,00,58.00,2.530,05,787.63,1.400,29,113%,-8%,2.29%,7.36%,4.31%,-39.04%,-32.22%,188,4.14%,-1.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/5/2017,2.739,00,,,2/6/2023,,2/6/2023,,,,,2.12%,2.739,00,58.00,2.530,05,787.63,1.400,29,112%,-8%,2.29%,7.36%,4.34%,-38.59%,-31.73%,188,4.14%,-2.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/6/2017,2.708,00,,,2/13/2023,,2/13/2023,,,,,2.14%,2.708,00,58.00,2.530,05,787.63,1.400,29,110%,-7%,2.29%,7.36%,4.39%,-37.89%,-30.95%,188,4.14%,-3.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/7/2017,2.650,00,,,2/20/2023,,2/21/2023,,,,,2.19%,2.650,00,58.00,2.530,05,787.63,1.400,29,107%,-5%,2.29%,7.36%,4.49%,-36.53%,-29.43%,188,4.14%,-5.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/8/2017,2.508,00,,,2/27/2023,,2/27/2023,,,,,2.31%,2.508,00,58.00,2.530,05,787.63,1.400,29,99%,1%,2.29%,7.36%,4.74%,-32.93%,-25.44%,188,4.14%,-10.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/11/2017,2.582,00,,,3/6/2023,,3/6/2023,,,,,2.25%,2.582,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.61%,-34.86%,-27.58%,188,4.14%,-7.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/12/2017,2.599,00,,,3/13/2023,,3/13/2023,,,,,2.23%,2.599,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.28%,-28.05%,188,4.14%,-7.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/13/2017,2.585,00,,,3/20/2023,,3/20/2023,,,,,2.24%,2.585,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-34.93%,-27.66%,188,4.14%,-7.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/14/2017,2.572,00,,,3/27/2023,,3/27/2023,,,,,2.26%,2.572,00,58.00,2.530,05,787.63,1.400,29,102%,-2%,2.29%,7.36%,4.63%,-34.60%,-27.29%,188,4.14%,-8.14%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/15/2017,2.543,00,,,4/3/2023,,4/3/2023,,,,,2.28%,2.543,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.68%,-33.86%,-26.46%,188,4.14%,-9.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/18/2017,2.561,00,,,4/11/2023,,4/10/2023,,,,,2.26%,2.561,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.65%,-34.32%,-26.98%,188,4.14%,-8.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/19/2017,2.601,00,,,4/17/2023,,4/17/2023,,,,,2.23%,2.601,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.33%,-28.10%,188,4.14%,-7.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/20/2017,2.594,00,,,4/24/2023,,4/24/2023,,,,,2.24%,2.594,00,58.00,2.530,05,787.63,1.400,29,104%,-2%,2.29%,7.36%,4.59%,-35.16%,-27.91%,188,4.14%,-7.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/21/2017,2.555,00,,,5/2/2023,,5/1/2023,,,,,2.27%,2.555,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.66%,-34.17%,-26.81%,188,4.14%,-8.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/22/2017,2.567,00,,,5/8/2023,,5/8/2023,,,,,2.26%,2.567,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.64%,-34.48%,-27.15%,188,4.14%,-8.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/25/2017,2.564,00,,,5/15/2023,,5/15/2023,,,,,2.26%,2.564,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.64%,-34.40%,-27.07%,188,4.14%,-8.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/26/2017,2.552,00,,,5/22/2023,,5/22/2023,,,,,2.27%,2.552,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.66%,-34.09%,-26.72%,188,4.14%,-8.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/27/2017,2.551,00,,,5/29/2023,,5/30/2023,,,,,2.27%,2.551,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.66%,-34.07%,-26.70%,188,4.14%,-8.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/28/2017,2.573,00,,,6/5/2023,,6/5/2023,,,,,2.25%,2.573,00,58.00,2.530,05,787.63,1.400,29,102%,-2%,2.29%,7.36%,4.62%,-34.63%,-27.32%,188,4.14%,-8.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,9/29/2017,2.594,00,,,6/12/2023,,6/12/2023,,,,,2.24%,2.594,00,58.00,2.530,05,787.63,1.400,29,104%,-2%,2.29%,7.36%,4.59%,-35.16%,-27.91%,188,4.14%,-7.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/2/2017,2.611,00,,,6/19/2023,,6/20/2023,,,,,2.22%,2.611,00,58.00,2.530,05,787.63,1.400,29,105%,-3%,2.29%,7.36%,4.56%,-35.58%,-28.38%,188,4.14%,-6.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/3/2017,2.605,00,,,6/26/2023,,6/26/2023,,,,,2.23%,2.605,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.43%,-28.21%,188,4.14%,-6.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/4/2017,2.584,00,,,7/3/2023,,7/3/2023,,,,,2.24%,2.584,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.61%,-34.91%,-27.63%,188,4.14%,-7.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/5/2017,2.603,00,,,7/10/2023,,7/10/2023,,,,,2.23%,2.603,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.38%,-28.16%,188,4.14%,-7.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/6/2017,2.609,00,,,7/17/2023,,7/17/2023,,,,,2.22%,2.609,00,58.00,2.530,05,787.63,1.400,29,105%,-3%,2.29%,7.36%,4.56%,-35.53%,-28.33%,188,4.14%,-6.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/9/2017,2.598,00,,,7/24/2023,,7/24/2023,,,,,2.23%,2.598,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.58%,-35.26%,-28.02%,188,4.14%,-7.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/10/2017,2.561,00,,,7/31/2023,,7/31/2023,,,,,2.26%,2.561,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.65%,-34.32%,-26.98%,188,4.14%,-8.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/11/2017,2.580,00,,,8/7/2023,,8/7/2023,,,,,2.25%,2.580,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.61%,-34.81%,-27.52%,188,4.14%,-7.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/12/2017,2.574,00,,,8/14/2023,,8/14/2023,,,,,2.25%,2.574,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.62%,-34.65%,-27.35%,188,4.14%,-8.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/13/2017,2.566,00,,,8/21/2023,,8/21/2023,,,,,2.26%,2.566,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.64%,-34.45%,-27.12%,188,4.14%,-8.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/16/2017,2.575,00,,,8/28/2023,,8/28/2023,,,,,2.25%,2.575,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.62%,-34.68%,-27.38%,188,4.14%,-8.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/17/2017,2.545,00,,,9/4/2023,,9/5/2023,,,,,2.28%,2.545,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.68%,-33.91%,-26.52%,188,4.14%,-9.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/18/2017,2.590,00,,,9/11/2023,,9/11/2023,,,,,2.24%,2.590,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.59%,-35.06%,-27.80%,188,4.14%,-7.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/19/2017,2.605,00,,,9/18/2023,,9/18/2023,,,,,2.23%,2.605,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.57%,-35.43%,-28.21%,188,4.14%,-6.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/20/2017,2.588,00,,,9/25/2023,,9/25/2023,,,,,2.24%,2.588,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-35.01%,-27.74%,188,4.14%,-7.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/23/2017,2.588,00,,,10/2/2023,,10/2/2023,,,,,2.24%,2.588,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-35.01%,-27.74%,188,4.14%,-7.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/24/2017,2.550,00,,,10/9/2023,,10/9/2023,,,,,2.27%,2.550,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.67%,-34.04%,-26.67%,188,4.14%,-8.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/25/2017,2.529,00,,,10/16/2023,,10/16/2023,,,,,2.29%,2.529,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.71%,-33.49%,-26.06%,188,4.14%,-9.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/26/2017,2.545,00,,,10/23/2023,,10/23/2023,,,,,2.28%,2.545,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.68%,-33.91%,-26.52%,188,4.14%,-9.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/27/2017,2.551,00,,,10/30/2023,,10/30/2023,,,,,2.27%,2.551,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.66%,-34.07%,-26.70%,188,4.14%,-8.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/30/2017,2.546,00,,,11/6/2023,,11/6/2023,,,,,2.28%,2.546,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.67%,-33.94%,-26.55%,188,4.14%,-9.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,10/31/2017,2.561,00,,,11/13/2023,,11/13/2023,,,,,2.26%,2.561,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.65%,-34.32%,-26.98%,188,4.14%,-8.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/1/2017,2.560,00,,,11/20/2023,,11/20/2023,,,,,2.27%,2.560,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.65%,-34.30%,-26.95%,188,4.14%,-8.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/2/2017,2.548,00,,,11/27/2023,,11/27/2023,,,,,2.28%,2.548,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.67%,-33.99%,-26.61%,188,4.14%,-9.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/3/2017,2.588,00,,,12/4/2023,,12/4/2023,,,,,2.24%,2.588,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.60%,-35.01%,-27.74%,188,4.14%,-7.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/6/2017,2.561,00,,,12/11/2023,,12/11/2023,,,,,2.26%,2.561,00,58.00,2.530,05,787.63,1.400,29,102%,-1%,2.29%,7.36%,4.65%,-34.32%,-26.98%,188,4.14%,-8.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/7/2017,2.536,00,,,12/18/2023,,12/18/2023,,,,,2.29%,2.536,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.69%,-33.68%,-26.26%,188,4.14%,-9.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/8/2017,2.497,00,,,12/26/2023,,12/26/2023,,,,,2.32%,2.497,00,58.00,2.530,05,787.63,1.400,29,98%,1%,2.29%,7.36%,4.77%,-32.64%,-25.11%,188,4.14%,-10.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/9/2017,2.469,00,,,1/2/2024,,1/2/2024,,,,,2.35%,2.469,00,58.00,2.530,05,787.63,1.400,29,96%,2%,2.29%,7.36%,4.82%,-31.88%,-24.26%,188,4.14%,-11.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/10/2017,2.506,00,,,1/8/2024,,1/8/2024,,,,,2.31%,2.506,00,58.00,2.530,05,787.63,1.400,29,99%,1%,2.29%,7.36%,4.75%,-32.88%,-25.38%,188,4.14%,-10.50%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/13/2017,2.459,00,,,1/15/2024,,1/16/2024,,,,,2.36%,2.459,00,58.00,2.530,05,787.63,1.400,29,96%,3%,2.29%,7.36%,4.84%,-31.60%,-23.95%,188,4.14%,-12.18%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/14/2017,2.480,00,,,1/22/2024,,1/22/2024,,,,,2.34%,2.480,00,58.00,2.530,05,787.63,1.400,29,97%,2%,2.29%,7.36%,4.80%,-32.18%,-24.60%,188,4.14%,-11.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/15/2017,2.465,00,,,1/29/2024,,1/29/2024,,,,,2.35%,2.465,00,58.00,2.530,05,787.63,1.400,29,96%,3%,2.29%,7.36%,4.83%,-31.76%,-24.14%,188,4.14%,-11.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/16/2017,2.492,00,,,2/5/2024,,2/5/2024,,,,,2.33%,2.492,00,58.00,2.530,05,787.63,1.400,29,98%,2%,2.29%,7.36%,4.78%,-32.50%,-24.96%,188,4.14%,-11.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/17/2017,2.466,00,,,2/12/2024,,2/12/2024,,,,,2.35%,2.466,00,58.00,2.530,05,787.63,1.400,29,96%,3%,2.29%,7.36%,4.83%,-31.79%,-24.17%,188,4.14%,-11.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/20/2017,2.464,00,,,2/19/2024,,2/20/2024,,,,,2.35%,2.464,00,58.00,2.530,05,787.63,1.400,29,96%,3%,2.29%,7.36%,4.83%,-31.74%,-24.11%,188,4.14%,-12.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/21/2017,2.520,00,,,2/26/2024,,2/26/2024,,,,,2.30%,2.520,00,58.00,2.530,05,787.63,1.400,29,99%,0%,2.29%,7.36%,4.72%,-33.25%,-25.79%,188,4.14%,-10.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/22/2017,2.533,00,,,3/4/2024,,3/4/2024,,,,,2.29%,2.533,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.70%,-33.60%,-26.17%,188,4.14%,-9.54%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/23/2017,2.524,00,,,3/11/2024,,3/11/2024,,,,,2.30%,2.524,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.71%,-33.36%,-25.91%,188,4.14%,-9.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/24/2017,2.540,00,,,3/18/2024,,3/18/2024,,,,,2.28%,2.540,00,58.00,2.530,05,787.63,1.400,29,101%,0%,2.29%,7.36%,4.69%,-33.78%,-26.38%,188,4.14%,-9.29%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/27/2017,2.538,00,,,3/25/2024,,3/25/2024,,,,,2.29%,2.538,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.69%,-33.73%,-26.32%,188,4.14%,-9.36%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/28/2017,2.575,00,,,4/2/2024,,4/1/2024,,,,,2.25%,2.575,00,58.00,2.530,05,787.63,1.400,29,103%,-2%,2.29%,7.36%,4.62%,-34.68%,-27.38%,188,4.14%,-8.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/29/2017,2.595,00,,,4/8/2024,,4/8/2024,,,,,2.24%,2.595,00,58.00,2.530,05,787.63,1.400,29,104%,-3%,2.29%,7.36%,4.59%,-35.18%,-27.94%,188,4.14%,-7.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,11/30/2017,2.573,00,,,4/15/2024,,4/15/2024,,,,,2.25%,2.573,00,58.00,2.530,05,787.63,1.400,29,102%,-2%,2.29%,7.36%,4.62%,-34.63%,-27.32%,188,4.14%,-8.11%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/1/2017,2.550,00,,,4/22/2024,,4/22/2024,,,,,2.27%,2.550,00,58.00,2.530,05,787.63,1.400,29,101%,-1%,2.29%,7.36%,4.67%,-34.04%,-26.67%,188,4.14%,-8.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/4/2017,2.539,00,,,4/29/2024,,4/29/2024,,,,,2.28%,2.539,00,58.00,2.530,05,787.63,1.400,29,101%,0%,2.29%,7.36%,4.69%,-33.75%,-26.35%,188,4.14%,-9.32%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/5/2017,2.536,00,,,5/6/2024,,5/6/2024,,,,,2.29%,2.536,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.69%,-33.68%,-26.26%,188,4.14%,-9.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/6/2017,2.528,00,,,5/13/2024,,5/13/2024,,,,,2.29%,2.528,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.71%,-33.47%,-26.03%,188,4.14%,-9.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/7/2017,2.521,00,,,5/20/2024,,5/20/2024,,,,,2.30%,2.521,00,58.00,2.530,05,787.63,1.400,29,99%,0%,2.29%,7.36%,4.72%,-33.28%,-25.82%,188,4.14%,-9.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/8/2017,2.523,00,,,5/27/2024,,5/28/2024,,,,,2.30%,2.523,00,58.00,2.530,05,787.63,1.400,29,100%,0%,2.29%,7.36%,4.72%,-33.33%,-25.88%,188,4.14%,-9.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/11/2017,2.508,00,,,6/3/2024,,6/3/2024,,,,,2.31%,2.508,00,58.00,2.530,05,787.63,1.400,29,99%,1%,2.29%,7.36%,4.74%,-32.93%,-25.44%,188,4.14%,-10.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2017,12/12/2017,2.481,00,,,6/10/2024,,6/10/2024,,,,,2.34%,2.481,00,58.00,2.530,05,787.63,1.400,29,97%,2%,2.29%,7.36%,4.80%,-32.20%,-24.63%,188,4.14%,-11.39%,,,,,,,,,,,,
