,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,REL LN,RELX PLC,,,,,,,,,,36%,40%,$2.682,00,$   2.077,71,$  2.467,79,$       4.135,00,$  3.766,30,3.08%,1.48%,2.21%,4.96%,138.19%,151.81%,122%,,,,,,,NO,,,2.88%,1.36%,1.52%,0.02%,76
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,RELX PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,2.69%,11/10/2017,,,,,,,,,,$  2.467,79,-8%,2.08%,$  3.766,30,$   1.436,97,$        1.126,00,$   1.209,83,1.35%,2.69%,2.27%,1.35%,-35.14%,-35.14%,-16%,,,,5Y CAGR,3.22%,,RELX PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10Y CAGR,5.56%,,RELX PLC - Yield On Cost (YOC),,,,,,,
,,,,,,,,,,,,,,,,,,YEAR,Date,Close,RSM POSITIVO,RSM NEGATIVO,Date,Close,Date,Close,RSD,MA(RSD),MRS = (( RSD(today) /ma(RSD(today). n)) - 1 ) * 100,YIELD,PRICE,DPS,CHANEL O,CHANEL U,CHANEL M,RATING,UPSIDE,OVERVALUED,UNDERVALUED,YOC,PRECIO,DIVIDENDOS,DIVIDENDOS DESDE COMPRA,MEDIANA YIELD,MAX. DRAWDOWN,,AÑO,DIVIDENDOS,% YoY,RELX PLC - Rating: 36% - Upside: 40%,,,Nº,INTERVALOS,FRECUENCIA,F. ACUMULADA,% TOTAL
,,,,,,,,,,,,,,,,,,2020,12/28/2020,,,,,,,,,,,2.55%,1.792,50,45.70,3.079,07,1.698,59,2.017,49,7%,72%,1.48%,2.69%,3.12%,49.62%,49.62%,0,2.27%,-14.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/29/2020,1.843,50,,,,,,,,,,2.48%,1.843,50,45.70,3.079,07,1.698,59,2.017,49,10%,67%,1.48%,2.69%,3.03%,45.48%,45.48%,0,2.27%,-12.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/30/2020,1.814,50,,,,,,,,,,2.52%,1.814,50,45.70,3.079,07,1.698,59,2.017,49,8%,70%,1.48%,2.69%,3.08%,47.81%,47.81%,0,2.27%,-13.55%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2020,12/31/2020,1.792,50,,,,,,,,,,2.55%,1.792,50,45.70,3.079,07,1.698,59,2.017,49,7%,72%,1.48%,2.69%,3.12%,49.62%,49.62%,0,2.27%,-14.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/4/2021,1.838,00,,,,,,,,,,2.60%,1.838,00,47.70,3.213,82,1.772,93,2.105,79,5%,75%,1.48%,2.69%,3.04%,45.92%,45.92%,0,2.27%,-12.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/5/2021,1.817,00,,,,,,,,,,2.63%,1.817,00,47.70,3.213,82,1.772,93,2.105,79,3%,77%,1.48%,2.69%,3.08%,47.61%,47.61%,0,2.27%,-13.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/6/2021,1.901,00,,,,,,,,,,2.51%,1.901,00,47.70,3.213,82,1.772,93,2.105,79,9%,69%,1.48%,2.69%,2.94%,41.08%,41.08%,0,2.27%,-9.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/7/2021,1.867,00,,,,,,,,,,2.55%,1.867,00,47.70,3.213,82,1.772,93,2.105,79,7%,72%,1.48%,2.69%,2.99%,43.65%,43.65%,0,2.27%,-11.05%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/8/2021,1.887,00,,,,,,,,,,2.53%,1.887,00,47.70,3.213,82,1.772,93,2.105,79,8%,70%,1.48%,2.69%,2.96%,42.13%,42.13%,0,2.27%,-10.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/11/2021,1.868,00,,,,,,,,,,2.55%,1.868,00,47.70,3.213,82,1.772,93,2.105,79,7%,72%,1.48%,2.69%,2.99%,43.58%,43.58%,0,2.27%,-11.01%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/12/2021,1.825,50,,,,,,,,,,2.61%,1.825,50,47.70,3.213,82,1.772,93,2.105,79,4%,76%,1.48%,2.69%,3.06%,46.92%,46.92%,0,2.27%,-13.03%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/13/2021,1.815,00,,,,,,,,,,2.63%,1.815,00,47.70,3.213,82,1.772,93,2.105,79,3%,77%,1.48%,2.69%,3.08%,47.77%,47.77%,0,2.27%,-13.53%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/14/2021,1.828,50,,,,,,,,,,2.61%,1.828,50,47.70,3.213,82,1.772,93,2.105,79,4%,76%,1.48%,2.69%,3.06%,46.68%,46.68%,0,2.27%,-12.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2021,1/15/2021,1.825,50,,,,,,,,,,2.61%,1.825,50,47.70,3.213,82,1.772,93,2.105,79,4%,76%,1.48%,2.69%,3.06%,46.92%,46.92%,0,2.27%,-13.03%,,,,,,,,,,,,
